                     COMMAND NAME                       | CYCLE ENDED |
                                                        |             |
% "string"                                              |    YES(1)   |
& "string"                                              |    YES(1)   |
* "string"                                              |     NO      |
. "string"                                              |     NO      |
. "@string"                                             |     NO      |
/ "string"                                              |    YES(2)   |
: "label"                                               |    NO(3)    |
? "counter" "label" "string"                            |    YES(1)   |
? "label" "string"                                      |    YES(1)   |
[ "string"                                              |    YES(1)   |
| "label"                                               |     NO      |
ABORT LOOP                                              |     YES     |
ASK "string"                                            |    YES(1)   |
AVALANCHE                                               |     NO      |
BECOME [color] [thing] [param]                          |     NO      |
BECOME NONLAVAWALKER                                    |     NO      |
BECOME NONPUSHABLE                                      |     NO      |
BECOME LAVAWALKER                                       |     NO      |
BECOME PUSHABLE                                         |     NO      |
BLIND #                                                 |     NO      |
BOARD [dir] "string"                                    |     NO      |
BOARD [dir] NONE                                        |     NO      |
BULLETCOLOR [color]                                     |     NO      |
BULLETE [char]                                          |     NO      |
BULLETN [char]                                          |     NO      |
BULLETS [char]                                          |     NO      |
BULLETW [char]                                          |     NO      |
CENTER MESG                                             |     NO      |
CHANGE [color] [thing] [param] [color] [thing] [param]  |     NO      |
CHANGE CHAR ID # [char]                                 |     NO      |
CHANGE OVERLAY [color] [char] [color] [char]            |     NO      |
CHANGE OVERLAY [color] [color]                          |     NO      |
CHANGE SFX # "string"                                   |     NO      |
CHANGE THICK ARROW CHAR [dir] [char]                    |     NO      |
CHANGE THIN ARROW CHAR [dir] [char]                     |     NO      |
CHAR [char]                                             |     NO      |
CHAR EDIT [char] # # # # # # # # # # # # # #            |     NO      |
CLEAR MESG                                              |     NO      |
CLIP INPUT                                              |     NO      |
COLOR [color]                                           |     NO      |
COLOR FADE OUT                                          |     NO      |
COLOR FADE IN                                           |     NO      |
COLOR INTENSITY # PERCENT                               |     NO      |
COLOR INTENSITY # # PERCENT                             |     NO      |
COPY # # # #                                            |     NO      |
COPY [dir] [dir]                                        |     NO      |
COPY BLOCK # # # # # #                                  |     NO      |
COPY CHAR [char] [char]                                 |     NO      |
COPY OVERLAY BLOCK # # # # # #                          |     NO      |
COPY BLOCK # # # # "@filename" #                        |     NO      |
COPY OVERLAY BLOCK # # # # "@filename" #                |     NO      |
COPY (OVERLAY) BLOCK "#x" "#y" # # "@filename" #        |     NO      |
COPY BLOCK # # # # "$string" #                          |     NO      |
COPY OVERLAY BLOCK # # # # "$string" #                  |     NO      |
COPY (OVERLAY) BLOCK "#x" "#y" # # "$string" #          |     NO      |
COPY BLOCK # # # # "#x" "#y"                            |     NO      |
COPY OVERLAY BLOCK # # # # "#x" "#y"                    |     NO      |
COPY BLOCK "#x" "#y" # # # #                            |     NO      |
COPY OVERLAY BLOCK "#x" "#y" # # # #                    |     NO      |
COPY (OVERLAY) BLOCK "#x1" "#y1" # # "#x2" "#y2"        |     NO      |
COPYROBOT "Robot"                                       |    YES(4)   |
COPYROBOT # #                                           |    YES(4)   |
COPYROBOT [dir]                                         |    YES(4)   |
CYCLE #                                                 |     YES     |
DEC "counter" #                                         |     NO      |
DEC "counter" RANDOM # #                                |     NO      |
DEC "$string" #                                         |     NO      |
DIE                                                     |     NO      |
DIE ITEM                                                |     NO      |
DISABLE MESG EDGE                                       |     NO      |
DISABLE SAVING                                          |     NO      |
DIVIDE "counter" #                                      |     NO      |
DOUBLE "counter"                                        |     NO      |
DUPLICATE SELF # #                                      |     NO      |
DUPLICATE SELF [dir]                                    |     NO      |
END                                                     |     YES     |
END MOD                                                 |     NO      |
END PLAY                                                |     NO      |
END SAM                                                 |     NO      |
ENDGAME                                                 |     NO      |
ENDLIFE                                                 |     NO      |
ENABLE MESG EDGE                                        |     NO      |
ENABLE SAVING                                           |     NO      |
ENABLE SENSORONLY SAVING                                |     NO      |
ENEMY BULLETCOLOR [color]                               |     NO      |
ENEMY BULLETE [char]                                    |     NO      |
ENEMY BULLETN [char]                                    |     NO      |
